City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Praia,CV,2021-09-25 02:38:13,14.9215,-23.5087,77.54,83,20,9.22
1,Ushuaia,AR,2021-09-25 02:38:13,-54.8,-68.3,37.06,93,75,3.44
2,Dunedin,NZ,2021-09-25 02:36:34,-45.8742,170.5036,60.58,53,16,16.22
3,Albany,US,2021-09-25 02:35:28,42.6001,-73.9662,56.62,86,1,1.63
4,Punta Arenas,CL,2021-09-25 02:38:13,-53.15,-70.9167,37.51,87,40,11.5
5,Puerto Ayora,EC,2021-09-25 02:38:14,-0.7393,-90.3518,69.55,89,86,5.7
6,Kapaa,US,2021-09-25 02:38:14,22.0752,-159.319,82.38,76,75,3.0
7,Tuktoyaktuk,CA,2021-09-25 02:36:54,69.4541,-133.0374,33.8,100,90,18.41
8,Laguna De Perlas,NI,2021-09-25 02:38:14,12.3429,-83.6712,78.4,88,100,10.29
9,Avarua,CK,2021-09-25 02:35:07,-21.2078,-159.775,77.05,57,98,8.05
10,Yining,CN,2021-09-25 02:38:14,29.0361,114.5636,93.87,48,9,2.24
11,Airai,TL,2021-09-25 02:36:57,-8.9266,125.4092,79.07,36,28,2.86
12,Atuona,PF,2021-09-25 02:38:15,-9.8,-139.0333,77.88,80,100,16.82
13,Busselton,AU,2021-09-25 02:38:15,-33.65,115.3333,61.05,55,3,16.46
14,Nouadhibou,MR,2021-09-25 02:38:15,20.931,-17.0347,70.52,87,16,20.67
15,Nikolskoye,RU,2021-09-25 02:38:16,59.7035,30.7861,46.87,93,100,7.56
16,North Bend,US,2021-09-25 02:38:16,43.4065,-124.2243,62.85,88,1,4.61
17,Port Blair,IN,2021-09-25 02:38:16,11.6667,92.75,82.89,78,93,14.5
18,Bilma,NE,2021-09-25 02:34:01,18.6853,12.9164,84.07,13,8,4.9
19,Jiangyou,CN,2021-09-25 02:38:17,31.7667,104.7167,75.97,87,99,5.3
20,Pevek,RU,2021-09-25 02:38:17,69.7008,170.3133,28.87,76,100,14.03
21,Hilo,US,2021-09-25 02:38:17,19.7297,-155.09,80.28,83,90,5.75
22,Graaff-Reinet,ZA,2021-09-25 02:38:17,-32.2522,24.5308,58.24,50,44,4.99
23,Port Elizabeth,ZA,2021-09-25 02:37:29,-33.918,25.5701,50.29,93,0,1.14
24,Gravdal,NO,2021-09-25 02:38:18,68.1214,13.5031,46.09,82,100,3.91
25,Husavik,IS,2021-09-25 02:38:18,66.0449,-17.3389,35.51,90,100,6.22
26,Qaqortoq,GL,2021-09-25 02:38:18,60.7167,-46.0333,34.3,44,0,5.5
27,Vardo,NO,2021-09-25 02:38:18,70.3705,31.1107,46.11,93,100,12.77
28,Hermanus,ZA,2021-09-25 02:36:30,-34.4187,19.2345,53.91,83,100,4.12
29,Jamestown,US,2021-09-25 02:35:28,42.097,-79.2353,57.72,83,1,1.01
30,Coolum Beach,AU,2021-09-25 02:38:19,-26.5333,153.1,86.34,61,10,13.31
31,Antofagasta,CL,2021-09-25 02:36:03,-23.65,-70.4,58.28,68,1,2.26
32,Victoria,HK,2021-09-25 02:34:21,22.2855,114.1577,93.22,73,52,3.0
33,Karpogory,RU,2021-09-25 02:38:19,64.0019,44.4451,45.88,96,100,7.72
34,Ahuimanu,US,2021-09-25 02:38:20,21.4447,-157.8378,87.51,70,90,10.36
35,Port Lincoln,AU,2021-09-25 02:38:20,-34.7333,135.8667,54.77,58,65,12.12
36,Cayenne,GF,2021-09-25 02:38:20,4.9333,-52.3333,83.08,82,55,1.99
37,Sitka,US,2021-09-25 02:34:51,57.0531,-135.33,49.89,76,75,9.22
38,Bandarbeyla,SO,2021-09-25 02:38:21,9.4942,50.8122,77.63,78,100,21.94
